127.0.0.1, 2019-06-23 00:52:49, GET, /admin/wizard/step5/2/, HTTP/1.1, 200, 0.010623
127.0.0.1, 2019-06-23 00:53:26, POST, /admin/wizard/step5/2/, HTTP/1.1, 303, 0.004273
127.0.0.1, 2019-06-23 00:53:26, GET, /admin/wizard/step5/3/, HTTP/1.1, 200, 0.011937
127.0.0.1, 2019-06-23 00:53:38, POST, /admin/wizard/step5/3/, HTTP/1.1, 303, 0.004154
127.0.0.1, 2019-06-23 00:53:38, GET, /admin/wizard/step5/4/, HTTP/1.1, 200, 0.012564
127.0.0.1, 2019-06-23 00:53:49, POST, /admin/wizard/step5/4/, HTTP/1.1, 303, 0.003597
127.0.0.1, 2019-06-23 00:53:49, GET, /admin/wizard/step5/5/, HTTP/1.1, 200, 0.010300
127.0.0.1, 2019-06-23 00:54:03, POST, /admin/wizard/step5/5/, HTTP/1.1, 303, 0.004041
127.0.0.1, 2019-06-23 00:54:03, GET, /admin/wizard/step6/, HTTP/1.1, 200, 0.014117
127.0.0.1, 2019-06-23 00:54:05, POST, /admin/wizard/step6/, HTTP/1.1, 303, 0.059100
127.0.0.1, 2019-06-23 00:54:05, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.011790
127.0.0.1, 2019-06-23 00:54:07, GET, /Hojas_de_Vida/default/index, HTTP/1.1, 200, 1.452533
127.0.0.1, 2019-06-23 00:54:08, GET, /Hojas_de_Vida/default/index, HTTP/1.1, 200, 0.035232
127.0.0.1, 2019-06-23 00:54:08, GET, /Hojas_de_Vida/static/images/favicon.ico, HTTP/1.1, 200, 0.000302
127.0.0.1, 2019-06-23 00:54:08, GET, /Hojas_de_Vida/static/images/favicon.png, HTTP/1.1, 200, 0.000205
127.0.0.1, 2019-06-23 00:54:13, GET, /Hojas_de_Vida/default/user/login, HTTP/1.1, 200, 0.020334
127.0.0.1, 2019-06-23 00:54:15, POST, /Hojas_de_Vida/default/user/login, HTTP/1.1, 303, 0.020483
127.0.0.1, 2019-06-23 00:54:15, GET, /Hojas_de_Vida/default/user/login, HTTP/1.1, 200, 0.022916
127.0.0.1, 2019-06-23 00:54:17, GET, /Hojas_de_Vida/default/user/register, HTTP/1.1, 200, 0.027450
127.0.0.1, 2019-06-23 00:54:28, POST, /Hojas_de_Vida/default/user/register, HTTP/1.1, 303, 0.138739
